"Tipo Prueba";"Fecha Asignacion";"Cantidad de intentos";"Porcentaje aprobacion";intento;"Fecha Realizada";"Tiempo Prueba";"Resultado prueba";Descripcion;Pregunta;"Respuesta usuario";"Resultado pregunta";"Respuesta correcta";"tiempo en la pregunta";"Cantidad de movimientos en la respuesta"
Prueba;2018-12-13;1;90;;;;;;;;;;;
;;;;1;2018-12-13;00:10:00;Reprobo;;;;;;;
"Politicas de Calidad, Sac, Saro y Sarlaft - Circulares Financieras";2018-12-14;1;100;;;;;;;;;;;
;;;;1;2018-12-14;00:30:00;Reprobo;;;;;;;
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? A los 3 intentos fallidos se bloquea automáticamente la clave.";"Politica de Usuarios";desacierto;"Politica del cambio de claves";" 1:09 min";1
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? A los 3 intentos fallidos se bloquea automáticamente la clave.";"Politica de Usuarios";desacierto;"Politica del cambio de claves";" 1:09 min";1
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? Todos los funcionarios deberán registrar su huella al salir o ingresar a las instalaciones de la empresa, ya que estos registros serán usados para medir hora de entrada, salida, breaks,etc. ";"Política Control de Acceso";acierto;"Política Control de Acceso";" 1:02 min";1
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? Todos los funcionarios deberán registrar su huella al salir o ingresar a las instalaciones de la empresa, ya que estos registros serán usados para medir hora de entrada, salida, breaks,etc. ";"Política Control de Acceso";acierto;"Política Control de Acceso";" 1:02 min";1
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? Se ha diseñado un plan para proteger la información mediante tareas programadas del sistema operativo, que abarca un mantenimiento seguro de la información critica disponible en la base de datos mediante la transferencia de información a archivos nativos los cuales son almacenados en formato ZIP en una partición segura (raid 0) del disco duro del servidor y en nuestro dispositivo de almacenamiento externo NAS.";"Política Back Up";acierto;"Política Back Up";" 43 sec";1
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? Se ha diseñado un plan para proteger la información mediante tareas programadas del sistema operativo, que abarca un mantenimiento seguro de la información critica disponible en la base de datos mediante la transferencia de información a archivos nativos los cuales son almacenados en formato ZIP en una partición segura (raid 0) del disco duro del servidor y en nuestro dispositivo de almacenamiento externo NAS.";"Política Back Up";acierto;"Política Back Up";" 43 sec";1
