"Tipo Prueba";"Fecha Asignacion";"Cantidad de intentos";"Porcentaje aprobacion";intento;"Fecha Realizada";"Tiempo Prueba";"Resultado prueba";Descripcion;Pregunta;"Respuesta usuario";"Resultado pregunta";"Respuesta correcta";"tiempo en la pregunta";"Cantidad de movimientos en la respuesta"
Prueba;2018-12-13;1;90;;;;;;;;;;;
;;;;1;2018-12-13;00:10:00;Aprobo;;;;;;;
"Politicas de Calidad, Sac, Saro y Sarlaft - Circulares Financieras";2018-12-14;3;100;;;;;;;;;;;
;;;;1;2018-12-14;00:30:00;Reprobo;;;;;;;
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? A los 3 intentos fallidos se bloquea automáticamente la clave.";"Politica de Usuarios";desacierto;"Politica del cambio de claves";" 5:20 min";1
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? Todos los funcionarios deberán registrar su huella al salir o ingresar a las instalaciones de la empresa, ya que estos registros serán usados para medir hora de entrada, salida, breaks,etc. ";"Política Control de Acceso";acierto;"Política Control de Acceso";" 2:22 min";1
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? Se ha diseñado un plan para proteger la información mediante tareas programadas del sistema operativo, que abarca un mantenimiento seguro de la información critica disponible en la base de datos mediante la transferencia de información a archivos nativos los cuales son almacenados en formato ZIP en una partición segura (raid 0) del disco duro del servidor y en nuestro dispositivo de almacenamiento externo NAS.";"Política Back Up";acierto;"Política Back Up";" 52 sec";1
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? El coordinador realiza el reparto de la cartera para cada Analista, el cual tiene al interior de cada campaña una carpeta con su nombre.";"Política  de Manejo de Información";acierto;"Política  de Manejo de Información";" 2:07 min";1
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? Es un grupo de seguridad del dominio local y no pueden hacer cambios accidentales ni intencionados en el sistema. Solamente pueden ejecutar las aplicaciones certificadas pero no las heredadas. A este grupo pertenecen los Analistas y los Coordinadores. ";"Política Control de Acceso";desacierto;"Política de Permisos";" 1:52 min";1
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? Los analistas en el puesto de trabajo solo se cuenta con el equipo de Cómputo por lo tanto no tiene acceso a hojas y esferos que permitan la copia de algún tipo de información.";"Política de Seguridad de la Información";acierto;"Política de Seguridad de la Información";" 4:13 min";1
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? El ingeniero crea los usuarios una vez se realice la solicitud por parte de Talento Humano, informando, campaña, nombre completo y ciudad, área, novedad de ingreso o retiro, fecha de creacion y/o eliminación. La solicitud será atendida de manera inmediata. La clave debe tener catorce caracteres, ser alfanúmerica, debe tener números y letras, un caracter especial y minimo una mayúscula. ";"Política de Usuarios";acierto;"Política de Usuarios";" 5:08 min";1
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? Como proceso de inducción de la compañía se socializan las políticas entre las cuales se encuentran el bloqueo del Equipo el cual claramente señala que en el momento en el que se ausente del puesto de trabajo, independientemente del motivo se debe dar bloqueo al equipo con Control+Alt+Supr.";"Política Bloqueo de Equipos.";acierto;"Política Bloqueo de Equipos.";" 4:45 min";1
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? Todo el personal debe portar el carnet en un lugar visible, si por alguna razón no lo porta, será devuelto a traerlo.";"Politica de Presentación Personal";acierto;"Politica de Presentación Personal";" 5:29 min";1
;;;;;;;;;"Seleccione la afirmación que no correspone a los lineamientos de la circular financiera 052 de 2012.";"Bloquear el acceso a internet.";desacierto;"Informar a los consumidores financieros de manera clara, precisa y completa, las políticas y mecanismos implementados por cada entidad para efectuar la gestión de cobranza.";" 4:01 min";1
;;;;;;;;;"Seleccione la afirmación que no correspone a los lineamientos de la circular financiera 048 de 2012.";"Información que viaja debe ser cifrada por h.w. de próposito especifico o s.w. combinado.";acierto;"Información que viaja debe ser cifrada por h.w. de próposito especifico o s.w. combinado.";" 2:30 min";1
;;;;;;;;;"Seleccione la afirmación que correspone a los lineamientos de la circular financiera 026 de 2012.";"Informar a los consumidores financieros que debido a la desaceleración economica no han podido pagar sus deudas, la posibilidad de ampliar el plazo de la deuda, inclusive bajar la tasa de interes, la medida empezo a regir a partir del 31 de Octubre 2017. La mora no debe superar los 60 o 90 dias en mora. ";acierto;"Informar a los consumidores financieros que debido a la desaceleración economica no han podido pagar sus deudas, la posibilidad de ampliar el plazo de la deuda, inclusive bajar la tasa de interes, la medida empezo a regir a partir del 31 de Octubre 2017. La mora no debe superar los 60 o 90 dias en mora. ";" 2:53 min";1
;;;;;;;;;"""Seleccione la opción que corresponde a la definición del SAC """"Sistema de Atención al Consumidor Financiero"""".""";"Es el conjunto de elementos diseñados para identificar, medir y controlar los riesgos operativos al interior del Banco con el fin de mejorar la gestión de los procesos y de la operación de la entidad, de acuerdo con los principios fundamentales de productividad y eficiencia en los procesos, y la cantidad del servicio al cliente.";desacierto;"Desarrolla y adoptan políticas, procedimientos y controles para garantizar la adecuada Atención y Protección al Consumidor Financiero.";" 3:45 min";1
;;;;;;;;;"""Seleccione la opción que corresponde a la definición del SARO """"Sistema de Administriación del Riesgo Operativo"""".""";"Es la posibilidad de pérdida en que incurriría la entidad al ser sancionado u obligado a indemnizar daños como resultado del incumplimiento de normas o regulaciones contractuales.";desacierto;"Es el conjunto de elementos diseñados para identificar, medir y controlar los riesgos operativos al interior del Banco con el fin de mejorar la gestión de los procesos y de la operación de la entidad, de acuerdo con los principios fundamentales de productividad y eficiencia en los procesos, y la cantidad del servicio al cliente.";" 3:34 min";1
;;;;;;;;;"""Seleccione la opción que corresponde a la definición del SARLAFT """"Sistema de Administración del Riesgo de Lavado de Activos y Financiación Terrorista"""".""
";"Es la posibilidad de pérdida o daño que puede sufrir una entidad vigilada a ser utilizada directamente o a través de sus operaciones como instrumento para el lavado de activos y/o canalización de recursos hacia la realización de actividades terroristas, o cuando se pretenda el ocultamiento provenientes de dichas actividad.
";acierto;"Es la posibilidad de pérdida o daño que puede sufrir una entidad vigilada a ser utilizada directamente o a través de sus operaciones como instrumento para el lavado de activos y/o canalización de recursos hacia la realización de actividades terroristas, o cuando se pretenda el ocultamiento provenientes de dichas actividad.
";" 1:29 min";1
;;;;2;2018-12-18;00:30:00;Reprobo;;;;;;;
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? A los 3 intentos fallidos se bloquea automáticamente la clave.";"Politica de la Seguridad de la Información";desacierto;"Politica del cambio de claves";" 4:50 min";3
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? Todos los funcionarios deberán registrar su huella al salir o ingresar a las instalaciones de la empresa, ya que estos registros serán usados para medir hora de entrada, salida, breaks,etc. ";"Política Control de Acceso";acierto;"Política Control de Acceso";" 29 sec";1
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? Se ha diseñado un plan para proteger la información mediante tareas programadas del sistema operativo, que abarca un mantenimiento seguro de la información critica disponible en la base de datos mediante la transferencia de información a archivos nativos los cuales son almacenados en formato ZIP en una partición segura (raid 0) del disco duro del servidor y en nuestro dispositivo de almacenamiento externo NAS.";"Política Back Up";acierto;"Política Back Up";" 2:06 min";1
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? El coordinador realiza el reparto de la cartera para cada Analista, el cual tiene al interior de cada campaña una carpeta con su nombre.";"Política  de Manejo de Información";acierto;"Política  de Manejo de Información";" 22 sec";1
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? Es un grupo de seguridad del dominio local y no pueden hacer cambios accidentales ni intencionados en el sistema. Solamente pueden ejecutar las aplicaciones certificadas pero no las heredadas. A este grupo pertenecen los Analistas y los Coordinadores. ";"Política de Permisos";acierto;"Política de Permisos";" 52 sec";1
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? Los analistas en el puesto de trabajo solo se cuenta con el equipo de Cómputo por lo tanto no tiene acceso a hojas y esferos que permitan la copia de algún tipo de información.";"Política de Seguridad de la Información";acierto;"Política de Seguridad de la Información";" 1:27 min";1
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? El ingeniero crea los usuarios una vez se realice la solicitud por parte de Talento Humano, informando, campaña, nombre completo y ciudad, área, novedad de ingreso o retiro, fecha de creacion y/o eliminación. La solicitud será atendida de manera inmediata. La clave debe tener catorce caracteres, ser alfanúmerica, debe tener números y letras, un caracter especial y minimo una mayúscula. ";"Política de Usuarios";acierto;"Política de Usuarios";" 4:08 min";1
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? Como proceso de inducción de la compañía se socializan las políticas entre las cuales se encuentran el bloqueo del Equipo el cual claramente señala que en el momento en el que se ausente del puesto de trabajo, independientemente del motivo se debe dar bloqueo al equipo con Control+Alt+Supr.";"Política Bloqueo de Equipos.";acierto;"Política Bloqueo de Equipos.";" 3:31 min";1
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? Todo el personal debe portar el carnet en un lugar visible, si por alguna razón no lo porta, será devuelto a traerlo.";"Politica de Presentación Personal";acierto;"Politica de Presentación Personal";" 3:08 min";1
;;;;;;;;;"Seleccione la afirmación que no correspone a los lineamientos de la circular financiera 052 de 2012.";"Bloquear el acceso a internet.";desacierto;"Informar a los consumidores financieros de manera clara, precisa y completa, las políticas y mecanismos implementados por cada entidad para efectuar la gestión de cobranza.";" 1:17 min";1
;;;;;;;;;"Seleccione la afirmación que no correspone a los lineamientos de la circular financiera 048 de 2012.";"Información que viaja debe ser cifrada por h.w. de próposito especifico o s.w. combinado.";acierto;"Información que viaja debe ser cifrada por h.w. de próposito especifico o s.w. combinado.";" 2:11 min";1
;;;;;;;;;"Seleccione la afirmación que correspone a los lineamientos de la circular financiera 026 de 2012.";"Informar a los consumidores financieros de manera clara, precisa y completa, las políticas y mecanismos implementados por cada entidad para efectuar la gestión de cobranza.";desacierto;"Informar a los consumidores financieros que debido a la desaceleración economica no han podido pagar sus deudas, la posibilidad de ampliar el plazo de la deuda, inclusive bajar la tasa de interes, la medida empezo a regir a partir del 31 de Octubre 2017. La mora no debe superar los 60 o 90 dias en mora. ";" 4:29 min";3
;;;;;;;;;"""Seleccione la opción que corresponde a la definición del SAC """"Sistema de Atención al Consumidor Financiero"""".""";"Es el conjunto de elementos diseñados para identificar, medir y controlar los riesgos operativos al interior del Banco con el fin de mejorar la gestión de los procesos y de la operación de la entidad, de acuerdo con los principios fundamentales de productividad y eficiencia en los procesos, y la cantidad del servicio al cliente.";desacierto;"Desarrolla y adoptan políticas, procedimientos y controles para garantizar la adecuada Atención y Protección al Consumidor Financiero.";" 1:45 min";1
;;;;;;;;;"""Seleccione la opción que corresponde a la definición del SARO """"Sistema de Administriación del Riesgo Operativo"""".""";"Es la posibilidad de pérdida o daño que puede sufrir una entidad vigilada a ser utilizada directamente o a través de sus operaciones como instrumento para el lavado de activos y/o canalización de recursos hacia la realización de actividades terroristas, o cuando se pretenda el ocultamiento provenientes de dichas actividad.";desacierto;"Es el conjunto de elementos diseñados para identificar, medir y controlar los riesgos operativos al interior del Banco con el fin de mejorar la gestión de los procesos y de la operación de la entidad, de acuerdo con los principios fundamentales de productividad y eficiencia en los procesos, y la cantidad del servicio al cliente.";" 3:03 min";1
;;;;;;;;;"""Seleccione la opción que corresponde a la definición del SARLAFT """"Sistema de Administración del Riesgo de Lavado de Activos y Financiación Terrorista"""".""
";"Es el conjunto de elementos diseñados para identificar, medir y controlar los riesgos operativos al interior del Banco con el fin de mejorar la gestión de los procesos y de la operación de la entidad, de acuerdo con los principios fundamentales de productividad y eficiencia en los procesos, y la cantidad del servicio al cliente.
";desacierto;"Es la posibilidad de pérdida o daño que puede sufrir una entidad vigilada a ser utilizada directamente o a través de sus operaciones como instrumento para el lavado de activos y/o canalización de recursos hacia la realización de actividades terroristas, o cuando se pretenda el ocultamiento provenientes de dichas actividad.
";" 3:49 min";1
;;;;3;2018-12-19;00:30:00;Reprobo;;;;;;;
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? A los 3 intentos fallidos se bloquea automáticamente la clave.";"Politica de la Seguridad de la Información";desacierto;"Politica del cambio de claves";" 2:12 min";1
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? Todos los funcionarios deberán registrar su huella al salir o ingresar a las instalaciones de la empresa, ya que estos registros serán usados para medir hora de entrada, salida, breaks,etc. ";"Política Control de Acceso";acierto;"Política Control de Acceso";" 43 sec";1
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? Se ha diseñado un plan para proteger la información mediante tareas programadas del sistema operativo, que abarca un mantenimiento seguro de la información critica disponible en la base de datos mediante la transferencia de información a archivos nativos los cuales son almacenados en formato ZIP en una partición segura (raid 0) del disco duro del servidor y en nuestro dispositivo de almacenamiento externo NAS.";"Política Back Up";acierto;"Política Back Up";" 1:11 min";1
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? El coordinador realiza el reparto de la cartera para cada Analista, el cual tiene al interior de cada campaña una carpeta con su nombre.";"Política  de Manejo de Información";acierto;"Política  de Manejo de Información";" 55 sec";1
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? Es un grupo de seguridad del dominio local y no pueden hacer cambios accidentales ni intencionados en el sistema. Solamente pueden ejecutar las aplicaciones certificadas pero no las heredadas. A este grupo pertenecen los Analistas y los Coordinadores. ";"Política de Permisos";acierto;"Política de Permisos";" 3:31 min";1
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? Los analistas en el puesto de trabajo solo se cuenta con el equipo de Cómputo por lo tanto no tiene acceso a hojas y esferos que permitan la copia de algún tipo de información.";"Política de Seguridad de la Información";acierto;"Política de Seguridad de la Información";" 3:13 min";1
;;;;;;;;;"¿Qué política de calidad corresponde a la siguiente afirmación? El ingeniero crea los usuarios una vez se realice la solicitud por parte de Talento Humano, informando, campaña, nombre completo y ciudad, área, novedad de ingreso o retiro, fecha de creacion y/o eliminación. La solicitud será atendida de manera inmediata. La clave debe tener catorce caracteres, ser alfanúmerica, debe tener números y letras, un caracter especial y minimo una mayúscula. ";"Política de Usuarios";acierto;"Política de Usuarios";" 3:18 min";1
